GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EffectiveStudy,me.choi.item10,EqualsEx,35,0,2,0,8,0,4,0,3,0
EffectiveStudy,me.choi.item10,Color,74,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item10,Point,39,0,8,0,9,0,6,0,2,0
EffectiveStudy,me.choi.item10,CaseInsenstiveString,63,0,4,0,16,0,5,0,3,0
EffectiveStudy,me.choi.item10,Child,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item10,CounterPoint,23,0,0,0,7,0,4,0,4,0
EffectiveStudy,me.choi.item10,Test,21,0,2,0,8,0,4,0,3,0
EffectiveStudy,me.choi.item10,CounterPointTest,55,0,0,0,10,0,4,0,4,0
EffectiveStudy,me.choi.item10,Parent,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item10,ColorPrint,34,0,8,0,8,0,6,0,2,0
EffectiveStudy,me.choi.item10,Main,45,0,0,0,11,0,2,0,2,0
EffectiveStudy,me.choi.item11,equalsWithHashcode,59,0,2,0,13,0,3,0,2,0
EffectiveStudy,me.choi.item11,PhoneNumber,68,0,14,0,14,0,10,0,3,0
EffectiveStudy,me.choi.item02.pizza.anonymousclass,AnonymousClass,8,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.anonymousclass,AnonymousClass2,9,0,0,0,2,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza.anonymousclass,AnonymousClass.new Runnable() {...},7,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.anonymousclass,AnonymousClass2.new Company() {...},10,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.abstractmethodreturn,Main,10,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.abstractmethodreturn,Parent.MiniParent,6,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.abstractmethodreturn,Son.MiniSon,5,0,0,0,2,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.abstractmethodreturn,Parent,3,0,0,0,1,0,1,0,1,0
EffectiveStudy,me.choi.item02.pizza.abstractmethodreturn,Son,11,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.item03.version02,Elvis2,7,0,0,0,2,0,2,0,2,0
